#
# Reworked by Aregorn for HSR2_DD
#
##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;;;x
PROV806;St. George's;St. George's;St. George's;St. George's;St. George's;St. George's;;;;;X
PROV807;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;;;;;X
PROV808;Tobago;Tobago;Tobago;Tobago;Tobago;Tobago;;;;;X
PROV809;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;;;;;X
PROV810;Cumaná;Cumaná;Cumaná;Cumaná;Cumaná;Cumaná;;;;;X
PROV811;Caracas;Caracas;Caracas;Caracas;Caracas;Caracas;;;;;X
PROV812;Cúcuta;Cúcuta;Cúcuta;Cúcuta;Cúcuta;Cúcuta;;;;;X
PROV813;Bogotá;Bogotá;Bogotá;Bogotá;Bogotá;Bogotá;;;;;X
PROV814;Guayaquil;Guayaquil;Guayaquil;Guayaquil;Guayaquil;Guayaquil;;;;;X
PROV815;Quito;Quito;Quito;Quito;Quito;Quito;;;;;X
PROV816;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;;;;;X
PROV817;Tigre;Tigre;Tigre;Tigre;Tigre;Tigre;;;;;X
PROV818;Iquitos;Iquitos;Iquitos;Iquitos;Iquitos;Iquitos;;;;;X
PROV819;Mitú;Mitú;Mitú;Mitú;Mitú;Mitú;;;;;X
PROV820;Solimões;Solimões;Solimões;Solimões;Solimões;Solimões;;;;;X
PROV821;Pucallpa;Pucallpa;Pucallpa;Pucallpa;Pucallpa;Pucallpa;;;;;X
PROV822;Rio Branco;Rio Branco;Rio Branco;Rio Branco;Rio Branco;Rio Branco;;;;;X
PROV823;Tefé;Tefé;Tefé;Tefé;Tefé;Tefé;;;;;X
PROV824;Manaus;Manaus;Manaus;Manaus;Manaus;Manaus;;;;;X
PROV825;Pôrto Velho;Pôrto Velho;Pôrto Velho;Pôrto Velho;Pôrto Velho;Pôrto Velho;;;;;X
PROV826;Santarém;Santarém;Santarém;Santarém;Santarém;Santarém;;;;;X
PROV827;Riberalta;Riberalta;Riberalta;Riberalta;Riberalta;Riberalta;;;;;X
PROV828;Cobija;Cobija;Cobija;Cobija;Cobija;Cobija;;;;;X
PROV829;Cuzco;Cuzco;Cuzco;Cuzco;Cuzco;Cuzco;;;;;X
PROV830;Lima;Lima;Lima;Lima;Lima;Lima;;;;;X
PROV831;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;;;;;X
PROV832;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;;;;;X
PROV833;Perseverancia;Perseverancia;Perseverancia;Perseverancia;Perseverancia;Perseverancia;;;;;X
PROV834;Cuiabá;Cuiabá;Cuiabá;Cuiabá;Cuiabá;Cuiabá;;;;;X
PROV835;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;;;;;X
PROV836;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;;;;;X
PROV837;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;;;;;X
PROV838;Sucre;Sucre;Sucre;Sucre;Sucre;Sucre;;;;;X
PROV839;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;;;;;X
PROV840;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;;;;;X
PROV841;Juan Fernández Archipelago;Juan Fernández Archipelago;Juan Fernández Archipelago;Juan Fernández Archipelago;Juan Fernández Archipelago;Juan Fernández Archipelago;;;;;X
PROV842;Isla San Félix;Isla San Félix;Isla San Félix;Isla San Félix;Isla San Félix;Isla San Félix;;;;;X
PROV843;San Miguel de Tucumán;San Miguel de Tucumán;San Miguel de Tucumán;San Miguel de Tucumán;San Miguel de Tucumán;San Miguel de Tucumán;;;;;X
PROV844;Formoza;Formoza;Formoza;Formoza;Formoza;Formoza;;;;;X
PROV845;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;;;;;X
PROV846;Ciudad del Este;Ciudad del Este;Ciudad del Este;Ciudad del Este;Ciudad del Este;Ciudad del Este;;;;;X
PROV847;Curitiba;Curitiba;Curitiba;Curitiba;Curitiba;Curitiba;;;;;X
PROV848;Pôrto Alegre;Pôrto Alegre;Pôrto Alegre;Pôrto Alegre;Pôrto Alegre;Pôrto Alegre;;;;;X
PROV849;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;;;;;X
PROV850;Concordia;Concordia;Concordia;Concordia;Concordia;Concordia;;;;;X
PROV851;Rosario;Rosario;Rosario;Rosario;Rosario;Rosario;;;;;X
PROV852;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;;;;;X
PROV853;Bahia Blanca;Bahia Blanca;Bahia Blanca;Bahia Blanca;Bahia Blanca;Bahia Blanca;;;;;X
PROV854;Viedma;Viedma;Viedma;Viedma;Viedma;Viedma;;;;;X
PROV855;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;;;;;X
PROV856;Puerto Montt;Puerto Montt;Puerto Montt;Puerto Montt;Puerto Montt;Puerto Montt;;;;;X
PROV857;Puerto Madryn;Puerto Madryn;Puerto Madryn;Puerto Madryn;Puerto Madryn;Puerto Madryn;;;;;X
PROV858;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;;;;;X
PROV859;San Carlos de Bariloche;San Carlos de Bariloche;San Carlos de Bariloche;San Carlos de Bariloche;San Carlos de Bariloche;San Carlos de Bariloche;;;;;X
PROV860;Puerto Aisén;Puerto Aisén;Puerto Aisén;Puerto Aisén;Puerto Aisén;Puerto Aisén;;;;;X
PROV861;Wellington;Wellington;Wellington;Wellington;Wellington;Wellington;;;;;X
PROV862;Sarmiento;Sarmiento;Sarmiento;Sarmiento;Sarmiento;Sarmiento;;;;;X
PROV863;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;;;;;X
PROV864;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;;;;;X
PROV865;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;;;;;X
PROV866;Falkland Islands;Falkland Islands;Falkland Islands;Falkland Islands;Falkland Islands;Falkland Islands;;;;;X
PROV867;Angostura Falls;Angostura Falls;Angostura Falls;Angostura Falls;Angostura Falls;Angostura Falls;;;;;X
PROV868;Inirida;Inirida;Inirida;Inirida;Inirida;Inirida;;;;;X
PROV869;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;;;;;X
PROV870;Ciudad Guayana;Ciudad Guayana;Ciudad Guayana;Ciudad Guayana;Ciudad Guayana;Ciudad Guayana;;;;;X
PROV871;Cuyuni;Cuyuni;Cuyuni;Cuyuni;Cuyuni;Cuyuni;;;;;X
PROV872;Boa Vista;Boa Vista;Boa Vista;Boa Vista;Boa Vista;Boa Vista;;;;;X
PROV873;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;;;;;X
PROV874;Paramaribo;Paramaribo;Paramaribo;Paramaribo;Paramaribo;Paramaribo;;;;;X
PROV875;Cayenne;Cayenne;Cayenne;Cayenne;Cayenne;Cayenne;;;;;X
PROV876;Macapá;Macapá;Macapá;Macapá;Macapá;Macapá;;;;;X
PROV877;Marajó;Marajó;Marajó;Marajó;Marajó;Marajó;;;;;X
PROV878;Marabá;Marabá;Marabá;Marabá;Marabá;Marabá;;;;;X
PROV879;Belém;Belém;Belém;Belém;Belém;Belém;;;;;X
PROV880;Fortaleza;Fortaleza;Fortaleza;Fortaleza;Fortaleza;Fortaleza;;;;;X
PROV881;Recife;Recife;Recife;Recife;Recife;Recife;;;;;X
PROV882;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;;;;;X
PROV883;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;;;;;X
PROV884;Vitória;Vitória;Vitória;Vitória;Vitória;Vitória;;;;;X
PROV885;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;;;;;X
PROV886;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;;;;;X
PROV887;Campinas;Campinas;Campinas;Campinas;Campinas;Campinas;;;;;X
PROV888;Panamá;Panamá;Panamá;Panamá;Panamá;Panamá;;;;;X
PROV889;Colon;Colon;Colon;Colon;Colon;Colon;;;;;X
PROV890;Medellín;Medellín;Medellín;Medellín;Medellín;Medellín;;;;;X
PROV891;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;;;;;X
PROV892;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;;;;;X
PROV893;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;;;;;X
PROV894;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;;;;;X
PROV895;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;Puerto Rico;;;;;X
PROV896;Virgin Islands;Virgin Islands;Virgin Islands;Virgin Islands;Virgin Islands;Virgin Islands;;;;;X
PROV897;Antigua;Antigua;Antigua;Antigua;Antigua;Antigua;;;;;X
PROV898;Guadelope;Guadelope;Guadelope;Guadelope;Guadelope;Guadelope;;;;;X
PROV899;Martinique;Martinique;Martinique;Martinique;Martinique;Martinique;;;;;X
PROV900;Suez;Suez;Suez;Suez;Suez;Suez;;;;;X
PROV901;Port Said;Port Said;Port Said;Port Said;Port Said;Port Said;;;;;X
PROV902;Zaqazig;Zaqazig;Zaqazig;Zaqazig;Zaqazig;Zaqazig;;;;;X
PROV903;Cairo;Cairo;Cairo;Cairo;Cairo;Cairo;;;;;X
PROV904;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;;;;;X
PROV905;Fayum;Fayum;Fayum;Fayum;Fayum;Fayum;;;;;X
PROV906;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;;;;;X
PROV907;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;;;;;X
PROV908;Gerawla;Gerawla;Gerawla;Gerawla;Gerawla;Gerawla;;;;;X
PROV909;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;El Alamein;;;;;X
PROV910;Fuka;Fuka;Fuka;Fuka;Fuka;Fuka;;;;;X
PROV911;Mersa Matruh;Mersa Matruh;Mersa Matruh;Mersa Matruh;Mersa Matruh;Mersa Matruh;;;;;X
PROV912;Nibeiwa;Nibeiwa;Nibeiwa;Nibeiwa;Nibeiwa;Nibeiwa;;;;;X
PROV913;Rabia;Rabia;Rabia;Rabia;Rabia;Rabia;;;;;X
PROV914;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;;;;;X
PROV915;Sollum;Sollum;Sollum;Sollum;Sollum;Sollum;;;;;X
PROV916;Bardia;Bardia;Bardia;Bardia;Bardia;Bardia;;;;;X
PROV917;Forte Capuzzo;Forte Capuzzo;Forte Capuzzo;Forte Capuzzo;Forte Capuzzo;Forte Capuzzo;;;;;X
PROV918;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;;;;;X
PROV919;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;Tobruk;;;;;X
PROV920;Derna;Derna;Derna;Derna;Derna;Derna;;;;;X
PROV921;Mechili;Mechili;Mechili;Mechili;Mechili;Mechili;;;;;X
PROV922;Msus;Msus;Msus;Msus;Msus;Msus;;;;;X
PROV923;Barca;Barca;Barca;Barca;Barca;Barca;;;;;X
PROV924;Bengazi;Bengazi;Bengazi;Bengazi;Bengazi;Bengazi;;;;;X
PROV925;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;Agedabia;;;;;X
PROV926;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;Al Jaghbub;;;;;X
PROV927;Aujila;Aujila;Aujila;Aujila;Aujila;Aujila;;;;;X
PROV928;Socna;Socna;Socna;Socna;Socna;Socna;;;;;X
PROV929;Sirte;Sirte;Sirte;Sirte;Sirte;Sirte;;;;;X
PROV930;Homs;Homs;Homs;Homs;Homs;Homs;;;;;X
PROV931;Ghadames;Ghadames;Ghadames;Ghadames;Ghadames;Ghadames;;;;;X
PROV932;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;;;;;X
PROV933;Zuara;Zuara;Zuara;Zuara;Zuara;Zuara;;;;;X
PROV934;Gafsa;Gafsa;Gafsa;Gafsa;Gafsa;Gafsa;;;;;X
PROV935;Gabès;Gabès;Gabès;Gabès;Gabès;Gabès;;;;;X
PROV936;Sfax;Sfax;Sfax;Sfax;Sfax;Sfax;;;;;X
PROV937;Kassarine;Kassarine;Kassarine;Kassarine;Kassarine;Kassarine;;;;;X
PROV938;Sousse;Sousse;Sousse;Sousse;Sousse;Sousse;;;;;X
PROV939;Tunis;Tunis;Tunis;Tunis;Tunis;Tunis;;;;;X
PROV940;Bizerte;Bizerte;Bizerte;Bizerte;Bizerte;Bizerte;;;;;X
PROV941;Tabarka;Tabarka;Tabarka;Tabarka;Tabarka;Tabarka;;;;;X
PROV942;Bône;Bône;Bône;Bône;Bône;Bône;;;;;X
PROV943;Constantine;Constantine;Constantine;Constatine;Constantine;Constantine;;;;;X
PROV944;Sétif;Sétif;Sétif;Sétif;Sétif;Sétif;;;;;X
PROV945;Philippeville;Philippeville;Philippeville;Philippeville;Philippeville;Philippeville;;;;;X
PROV946;Bougie;Bougie;Bougie;Bougie;Bougie;Bougie;;;;;X
PROV947;Blida;Blida;Blida;Blida;Blida;Blida;;;;;X
PROV948;Mascara;Mascara;Mascara;Mascara;Mascara;Mascara;;;;;X
PROV949;Algiers;Algiers;Algiers;Algiers;Algiers;Algiers;;;;;X
PROV950;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;;;;;X
PROV951;Sidi-Bel-Abbès;Sidi-Bel-Abbès;Sidi-Bel-Abbès;Sidi-Bel-Abbès;Sidi-Bel-Abbès;Sidi-Bel-Abbès;;;;;X
PROV952;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;;;;;X
PROV953;Oran;Oran;Oran;Oran;Oran;Oran;;;;;X
PROV954;Melilla;Melilla;Melilla;Melilla;Melilla;Melilla;;;;;X
PROV955;Villa Sanjuro;Villa Sanjuro;Villa Sanjuro;Villa Sanjuro;Villa Sanjuro;Villa Sanjuro;;;;;X
PROV956;Oujda;Oujda;Oujda;Oujda;Oujda;Oujda;;;;;X
PROV957;Ceuta;Ceuta;Ceuta;Ceuta;Ceuta;Ceuta;;;;;X
PROV958;Casablanca;Casablanca;Casablanca;Casablanca;Casablanca;Casablanca;;;;;X
PROV959;Marrakech;Marrakech;Marrakech;Marrakech;Marrakech;Marrakech;;;;;X
PROV960;Mogador;Mogador;Mogador;Mogador;Mogador;Mogador;;;;;X
PROV961;Lanzarote;Lanzarote;Lanzarote;Lanzarote;Lanzarote;Lanzarote;;;;;X
PROV962;Fuerteventura;Fuerteventura;Fuerteventura;Fuerteventura;Fuerteventura;Fuerteventura;;;;;X
PROV963;Gran Canaria;Gran Canaria;Gran Canaria;Gran Canaria;Gran Canaria;Gran Canaria;;;;;X
PROV964;Tenerife;Tenerife;Tenerife;Tenerife;Tenerife;Tenerife;;;;;X
PROV965;La Palma;La Palma;La Palma;La Palma;La Palma;La Palma;;;;;X
PROV966;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;;;;;X
PROV967;Ifni;Ifni;Ifni;Ifni;Ifni;Ifni;;;;;X
PROV968;Ouezzane;Ouezzane;Ouezzane;Ouezzane;Ouezzane;Ouezzane;;;;;X
PROV969;Bouarfa;Bouarfa;Bouarfa;Bouarfa;Bouarfa;Bouarfa;;;;;X
PROV970;Géryville;Géryville;Géryville;Géryville;Géryville;Géryville;;;;;X
PROV971;El Aaiún;El Aaiún;El Aaiún;El Aaiún;El Aaiún;El Aaiún;;;;;X
PROV972;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;Villa Cisneros;;;;;X
PROV973;Port-Étienne;Port-Étienne;Port-Étienne;Port-Étienne;Port-Étienne;Port-Étienne;;;;;X
PROV974;Fort-Gouraud;Fort-Gouraud;Fort-Gouraud;Fort-Gouraud;Fort-Gouraud;Fort-Gouraud;;;;;X
PROV975;Taoudenni;Taoudenni;Taoudenni;Taoudenni;Taoudenni;Taoudenni;;;;;X
PROV976;Gao;Gao;Gao;Gao;Gao;Gao;;;;;X
PROV977;Timbuktu;Timbuktu;Timbuktu;Timbuktu;Timbuktu;Timbuktu;;;;;X
PROV978;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;;;;;X
PROV979;Ségou;Ségou;Ségou;Ségou;Ségou;Ségou;;;;;X
PROV980;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;Nioro du Sahel;;;;;X
PROV981;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;;;;;X
PROV982;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;;;;;X
PROV983;Bissão;Bissão;Bissão;Bissão;Bissão;Bissão;;;;;X
PROV984;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;Tambacounda;;;;;X
PROV985;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;;;;;X
PROV986;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;;;;;X
PROV987;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;;;;;X
PROV988;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;;;;;X
PROV989;Labé;Labé;Labé;Labé;Labé;Labé;;;;;X
PROV990;Siguiri;Siguiri;Siguiri;Siguiri;Siguiri;Siguiri;;;;;X
PROV991;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;;;;;X
PROV992;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;;;;;X
PROV993;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;;;;;X
PROV994;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;;;;;X
PROV995;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;;;;;X
PROV996;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;;;;;X
PROV997;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;;;;;X
PROV998;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;;;;;X
PROV999;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;;;;;X
PROV1000;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;;;;;X
PROV1001;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;Kumasi;;;;;X
PROV1002;Accra;Accra;Accra;Accra;Accra;Accra;;;;;X
PROV1003;Lomé;Lomé;Lomé;Lomé;Lomé;Lomé;;;;;X
PROV1004;Bassari;Bassari;Bassari;Bassari;Bassari;Bassari;;;;;X
PROV1005;Parakou;Parakou;Parakou;Parakou;Parakou;Parakou;;;;;X
PROV1006;Porto-Novo;Porto-Novo;Porto-Novo;Porto-Novo;Porto-Novo;Porto-Novo;;;;;X
PROV1007;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;;;;;X
PROV1008;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;;;;;X
PROV1009;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;;;;;X
PROV1010;Onitsha;Onitsha;Onitsha;Onitsha;Onitsha;Onitsha;;;;;X
PROV1011;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;;;;;X
PROV1012;Gashaka;Gashaka;Gashaka;Gashaka;Gashaka;Gashaka;;;;;X
PROV1013;El-Oued;El-Oued;El-Oued;El-Oued;El-Oued;El-Oued;;;;;X
PROV1014;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;;;;;X
PROV1015;Ghat;Ghat;Ghat;Ghat;Ghat;Ghat;;;;;X
PROV1016;Murzuk;Murzuk;Murzuk;Murzuk;Murzuk;Murzuk;;;;;X
PROV1017;Calansho Sand Sea;Calansho Sand Sea;Calansho Sand Sea;Calansho Sand Sea;Calansho Sand Sea;Calansho Sand Sea;;;;;X
PROV1018;Kufra;Kufra;Kufra;Kufra;Kufra;Kufra;;;;;X
PROV1019;Great Sand Sea;Great Sand Sea;Great Sand Sea;Great Sand Sea;Great Sand Sea;Great Sand Sea;;;;;X
PROV1020;Siwa;Siwa;Siwa;Siwa;Siwa;Siwa;;;;;X
PROV1021;Ain Dalla;Ain Dalla;Ain Dalla;Ain Dalla;Ain Dalla;Ain Dalla;;;;;X
PROV1022;Western Desert;Western Desert;Western Desert;Western Desert;Western Desert;Western Desert;;;;;X
PROV1023;Asyut;Asyut;Asyut;Asyut;Asyut;Asyut;;;;;X
PROV1024;Luxor;Luxor;Luxor;Luxor;Luxor;Luxor;;;;;X
PROV1025;Qusayr;Qusayr;Qusayr;Qusayr;Qusayr;Qusayr;;;;;X
PROV1026;Aswan;Aswan;Aswan;Aswan;Aswan;Aswan;;;;;X
PROV1027;Idfu;Idfu;Idfu;Idfu;Idfu;Idfu;;;;;X
PROV1028;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;;;;;X
PROV1029;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;;;;;X
PROV1030;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;Port Sudan;;;;;X
PROV1031;Berber;Berber;Berber;Berber;Berber;Berber;;;;;X
PROV1032;Omdurman;Omdurman;Omdurman;Omdurman;Omdurman;Omdurman;;;;;X
PROV1033;Massaua;Massaua;Massaua;Massaua;Massaua;Massaua;;;;;X
PROV1034;Obbia;Obbia;Obbia;Obbia;Obbia;Obbia;;;;;X
PROV1035;Berbera;Berbera;Berbera;Berbera;Berbera;Berbera;;;;;X
PROV1036;Zeila;Zeila;Zeila;Zeila;Zeila;Zeila;;;;;X
PROV1037;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;;;;;X
PROV1038;Assab;Assab;Assab;Assab;Assab;Assab;;;;;X
PROV1039;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;;;;;X
PROV1040;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;;;;;X
PROV1041;Gallabat;Gallabat;Gallabat;Gallabat;Gallabat;Gallabat;;;;;X
PROV1042;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;;;;;X
PROV1043;Desê;Desê;Desê;Desê;Desê;Desê;;;;;X
PROV1044;Debre Mark'os;Debre Mark'os;Debre Mark'os;Debre Mark'os;Debre Mark'os;Debre Mark'os;;;;;X
PROV1045;Gambêla;Gambêla;Gambêla;Gambêla;Gambêla;Gambêla;;;;;X
PROV1046;Addis Ababa;Addis Ababa;Addis Ababa;Addis Ababa;Addis Ababa;Addis Ababa;;;;;X
PROV1047;Jima;Jima;Jima;Jima;Jima;Jima;;;;;X
PROV1048;Âdwa;Âdwa;Âdwa;Âdwa;Âdwa;Âdwa;;;;;X
PROV1049;Denakil;Denakil;Denakil;Denakil;Denakil;Denakil;;;;;X
PROV1050;Dirê Dawa;Dirê Dawa;Dirê Dawa;Dirê Dawa;Dirê Dawa;Dirê Dawa;;;;;X
PROV1051;Harar;Harar;Harar;Harar;Harar;Harar;;;;;X
PROV1052;Ginir;Ginir;Ginir;Ginir;Ginir;Ginir;;;;;X
PROV1053;Moyale;Moyale;Moyale;Moyale;Moyale;Moyale;;;;;X
PROV1054;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;Ogaden;;;;;X
PROV1055;Bardera;Bardera;Bardera;Bardera;Bardera;Bardera;;;;;X
PROV1056;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;Mogadishu;;;;;X
PROV1057;;;;;;;;;;;X
PROV1058;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;Kismayo;;;;;X
PROV1059;Marsabit;Marsabit;Marsabit;Marsabit;Marsabit;Marsabit;;;;;X
PROV1060;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;;;;;X
PROV1061;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;;;;;X
PROV1062;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;;;;;X
PROV1063;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;;;;;X
PROV1064;Entebbe;Entebbe;Entebbe;Entebbe;Entebbe;Entebbe;;;;;X
PROV1065;Malakal;Malakal;Malakal;Malakal;Malakal;Malakal;;;;;X
PROV1066;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;Khartoum;;;;;X
PROV1067;El Atrun;El Atrun;El Atrun;El Atrun;El Atrun;El Atrun;;;;;X
PROV1068;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;El Obeid;;;;;X
PROV1069;Waw;Waw;Waw;Waw;Waw;Waw;;;;;X
PROV1070;Bangassou;Bangassou;Bangassou;Bangassou;Bangassou;Bangassou;;;;;X
PROV1071;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;;;;;X
PROV1072;Buta;Buta;Buta;Buta;Buta;Buta;;;;;X
PROV1073;Costermanville;Costermanville;Costermanville;Costermanville;Costermanville;Costermanville;;;;;X
PROV1074;Coquihatville;Coquihatville;Coquihatville;Coquihatville;Coquihatville;Coquihatville;;;;;X
PROV1075;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;;;;;X
PROV1076;Impfondo;Impfondo;Impfondo;Impfondo;Impfondo;Impfondo;;;;;X
PROV1077;Yaoundé;Yaoundé;Yaoundé;Yaoundé;Yaoundé;Yaoundé;;;;;X
PROV1078;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;;;;;X
PROV1079;Fort-Archambault;Fort-Archambault;Fort-Archambault;Fort-Archambault;Fort-Archambault;Fort-Archambault;;;;;X
PROV1080;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;;;;;X
PROV1081;Largeau;Largeau;Largeau;Largeau;Largeau;Largeau;;;;;X
PROV1082;Tibesti;Tibesti;Tibesti;Tibesti;Tibesti;Tibesti;;;;;X
PROV1083;Agadez;Agadez;Agadez;Agadez;Agadez;Agadez;;;;;X
PROV1084;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;;;;;X
PROV1085;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;;;;;X
PROV1086;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;;;;;X
PROV1087;Ngaoundéré;Ngaoundéré;Ngaoundéré;Ngaoundéré;Ngaoundéré;Ngaoundéré;;;;;X
PROV1088;Nkongsamba;Nkongsamba;Nkongsamba;Nkongsamba;Nkongsamba;Nkongsamba;;;;;X
PROV1089;Douala;Douala;Douala;Douala;Douala;Douala;;;;;X
PROV1090;São Tomé;São Tomé;São Tomé;São Tomé;São Tomé;São Tomé;;;;;X
PROV1091;Bata;Bata;Bata;Bata;Bata;Bata;;;;;X
PROV1092;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;;;;;X
